# TOPAS Version: 3.7.p1_expanded
# Parameter File: Complex.txt
# Results for scorer DoseAtPhantom1
# Scored in component: Phantom1
# X in 1 bin  of 60 cm
# Y in 1 bin  of 60 cm
# Z in 10 bins of 0.22 cm
# DoseToMedium ( Gy ) : Sum   Mean   Count_in_Bin   Second_Moment   Variance   Standard_Deviation   Min   Max   
0, 0, 0, 2.582921723726095e-12, 2.582921648042993e-13, 10, 1.34166764034551e-26, 1.490741822606122e-27, 3.86101259076699e-14, 2.022631891831551e-13, 3.461020679462115e-13
0, 0, 1, 2.518002733403746e-12, 2.51800283371137e-13, 10, 1.18804924123624e-26, 1.320054712484711e-27, 3.633255719715736e-14, 2.064740720621875e-13, 3.172936172541438e-13
0, 0, 2, 2.336253586421311e-12, 2.336253535890994e-13, 10, 2.446928843770906e-27, 2.718809826412118e-28, 1.648881386398706e-14, 2.036842694809739e-13, 2.569164437446972e-13
0, 0, 3, 2.414290555668996e-12, 2.414290528626523e-13, 10, 7.177664743134214e-27, 7.975183047926905e-28, 2.824036658389353e-14, 1.952781574896968e-13, 2.831168291482899e-13
0, 0, 4, 2.526218383785972e-12, 2.526218294400372e-13, 10, 2.506754274836336e-26, 2.785282527595929e-27, 5.27757759544654e-14, 1.942632271922017e-13, 3.778455298408086e-13
0, 0, 5, 2.418745325555305e-12, 2.418745241833971e-13, 10, 7.207960893284281e-27, 8.008845436982534e-28, 2.829990359874488e-14, 1.96210358682249e-13, 2.794882350437657e-13
0, 0, 6, 2.344570934967316e-12, 2.344570895323761e-13, 10, 7.763372641152562e-27, 8.625969601280624e-28, 2.93700010236306e-14, 2.04193055453017e-13, 2.758324765747793e-13
0, 0, 7, 2.39605427512779e-12, 2.396054178370954e-13, 10, 4.825412875072657e-27, 5.361569861191842e-28, 2.315506394115948e-14, 2.158763163036064e-13, 2.865440209495244e-13
0, 0, 8, 2.296146996497161e-12, 2.296146982624465e-13, 10, 9.979961976367636e-27, 1.108884664040849e-27, 3.329991988039684e-14, 1.952511772060582e-13, 2.956679456340993e-13
0, 0, 9, 2.467457228122472e-12, 2.467457319908411e-13, 10, 1.8573775460103e-26, 2.063752828900334e-27, 4.542854640972275e-14, 1.967149028412857e-13, 3.51192648174488e-13
